university,country,world_rank,Ivy_League,insitution_type,policy_type,ai_policy_scope,genai_allowed_general_use,genai_allowed_research,genai_allowed_teaching,genai_allowed_assessment,requires_ai_disclosure,data_protection_guidance_level,approved_tools_listed,enforce_penalties,cs_ai_policy_specified,cs_ai_restriction_level,cs_allowd_homework,cs_allowed_exams,ds_ai_policy_specifies,ds_ai_restriction_level,ds_allowd_homework,ds_allowed_exams,policy_url,APPENDIX,,,
university name,- ,according to CWUR,yes / no,public / private,formal / guidance,University-wide / Faculty - level / Course - level / Mixed,yes / no / not specified/ consult_required,yes / no ,yes / no / not specified / instructor discretion,yes / no / instructor discretion,yes / no,low / moderate / high,tools allowed,yes / no,yes / no / unknown,prohibited / restricted / allowed / open / unknown,allowed / conditional / prohibited / unknown,allowed / conditional / prohibited / unknown,yes / no,prohibited / restricted / allowed / open / unknown,allowed / conditional / prohibited / unknown,allowed / conditional / prohibited / unknown,Url,,,,
Brown,USA,72,yes,private,guidance,department-level,yes,yes,yes,instructor discretion,yes,high,Google Gemini & Notebook LM,yes,yes,restricted,conditional,unknown,unknown,unknown,unknown,unknown,Policy,,cs policy ,,
NUS,Singapore,79,no,public,guidance,course-level,yes,yes,yes,no,yes,moderate,Custom,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
KU Leuven,Belgium,98,no,public,formal,mixed,yes,yes,yes,no,yes,high,Microsoft Copilot,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,ds policy,,,
Sydney,Australia,100,no,public,guidance,mixed,yes,yes,yes,instructor discretion,yes,high,Microsoft Copilot,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
Helsinki,Finland,130,no,public,formal,mixed,yes,yes,yes,instructor discretion,yes,high,Microsoft Copilot,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
NTU,Singapore,132,no,public,formal,course-level,yes,yes,yes,no,yes,high,Microsoft Copilot,yes,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
TAU,Israel,162,no,public,formal,course-level,yes,yes,yes,instructor discretion,yes,high,Google Gemini & Notebook LM,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
HKU,Hong Kong,184,no,public,formal,course-level,yes,yes,yes,no,yes,high,"ChatGPT Edu, Claude",yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,ds policy,,,
Technion,Israel,193,no,public,formal,mixed,yes,yes,yes,no,yes,high,Custom,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Policy,,,,
BGU,Israel,357,no,public,guidance,course-level,yes,yes,yes,no,yes,high ,Google Gemini & Notebook LM,yes,no,unknown,unknown,unknown,no,unknown,unknown,unknown,,,,,
SMU,Singapore,397,no,public,formal,course-level,yes,not specified,yes,instructor discretion,yes,high,not specified,yes,no,unknown,unknown,unknown,no,unknown,unknown,unknown,Policy,,,,על פי ההגדרה המוסדית בכל הקורסים השימוש הוא מוגבל ובנוסף אסור במחבנים כלל
IISc,India,518,no,public,formal,course-level,yes,yes,yes,instructor discretion,yes,high,not specified,yes,no,unknown,unknown,unknown,no,unknown,unknown,unknown,Policy,,,,על פי ההגדרה המוסדית בכל הקורסים השימוש הוא מוגבל ובנוסף אסור במחבנים כלל
CMU,USA,97,no,private,guidance,course-level,consult required,yes,instructor discretion,instructor discretion,yes,high,"ChatGPT Edu, Microsoft Copilot, Google Gemini",yes,yes,prohibited,prohibited,prohibited,yes,prohibited,prohibited,prohibited,Policy,,,,
Gerogia Tech,USA,71,no,public,formal,mixed,consult required,yes,instructor discretion,instructor discretion,yes,high,Microsot Copilot,yes,yes,restricted,conditional,prohibited,yes,restricted,conditional,prohibited,Policy,,,,
University of Washington,USA,25,no,public,formal,course-level,yes,instructor discretion,yes,instructor discretion,yes,high,Microsot Copilot,yes,yes,prohibited,prohibited,prohibited,yes,prohibited,prohibited,prohibited,Policy,ds,cs,,
UCSD,USA,34,no,public,formal,course-level,yes,yes,instructor discretion,no,yes,high,custom,yes,yes,allowed,conditional,prohibited,no,unknown,unknown,unknown,policy,,,,
University of Florida,USA,73,no,public,guidance,mixed,yes,yes,yes,instructor discretion,yes,high,Microsot Copilot,yes,yes,prohibited,prohibited,prohibited,yes,restricted,prohibited,prohibited,Policy,ds,,,
University of Virginia,USA,75,no,public,formal,course-level,yes,instructor discretion,yes,instructor discretion,yes,high,"Microsoft Copilot, Google Gemini & Notebook LM",yes,yes,restricted,prohibited,prohibited,yes,prohibited,prohibited,prohibited,Policy,,cs,,
